Type,Year,Qtr,Adoption,Order_type,Adopter,Adopted_child_sex,Adopted_child_age,Count
Application,2011,4,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2011,4,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2011,4,Adoption,Convention,Step parent,n/a,n/a,0
Application,2012,1,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2012,1,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2012,1,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2012,1,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2012,1,Adoption,Convention,Step parent,n/a,n/a,0
Application,2012,2,Adoption,Convention,M/F couple,n/a,n/a,5
Application,2012,2,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2012,2,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2012,2,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2012,2,Adoption,Convention,Step parent,n/a,n/a,0
Application,2012,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2012,3,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2012,3,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2012,3,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2012,3,Adoption,Convention,Step parent,n/a,n/a,0
Application,2012,4,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2012,4,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2012,4,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2012,4,Adoption,Convention,Sole applicant,n/a,n/a,3
Application,2012,4,Adoption,Convention,Step parent,n/a,n/a,0
Application,2013,1,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2013,1,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2013,1,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2013,1,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2013,1,Adoption,Convention,Step parent,n/a,n/a,0
Application,2013,2,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2013,2,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2013,2,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2013,2,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2013,2,Adoption,Convention,Step parent,n/a,n/a,0
Application,2013,3,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2013,3,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2013,3,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2013,3,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2013,3,Adoption,Convention,Step parent,n/a,n/a,0
Application,2013,4,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2013,4,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2013,4,Adoption,Convention,Same sex couple,n/a,n/a,1
